Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Baroque_Baroque-Early_Marini_op22_zarab_m.mid,4,1,2,,,
Baroque_Baroque-Late_Bach_aria.mid,11,4,1,,,
Baroque_Baroque-Late_Bach_ARTFUG11.mid,8,2 6,4 8,,,
Baroque_Baroque-Late_Bach_Jesu_R1.mid,7,1,6,,,
Baroque_Baroque-Late_Bach_Prelue#3.mid,3,,,2,3,1
Baroque_Baroque-Late_Bach_wtc2112.mid,5,,,1 2 ,3,
Baroque_Baroque-Late_Bach_wtc2182.mid,5,,,1 2 ,3,
Baroque_Baroque-Late_Bach_WTCPRE22.mid,4,,,3,4,
Baroque_Baroque-Late_Bach_ZZBACH1.mid,4,2 3,4,,,
Baroque_Baroque-Late_Purcell_PURCELLoverture.mid,8,3 4 5,6,7,8,
Baroque_Baroque-Late_Vivaldi_Antonio_Vivaldi_Four_Seasons_Spring.mid,5,1 2,5,,,
Baroque_Baroque-Middle_Lully_7_lste_m.mid,6,2 3,6,,,
Baroque_Baroque-Middle_Rosenmuller_06padal_m.mid,4,1 2,3 4,,,
Classicism_Classicism_Clementi_sontina.mid,2,,,1,2,
Classicism_Classicism_Haydn_haydn_-4.mid,5,,,1,3,
Classicism_Classicism_Hummel_2284lagalantreg.mid,2,,,1,2,
Classicism_Classicism_Mozart_2018mozk299no2.mid,25,4,9 10,,,
Classicism_Classicism_Mozart_arias-notturn1.mid,6,1 2 4 5 ,6,,,
Classicism_Classicism_Mozart_figovert.mid,12,8 9,4 12,,,
Classicism_Classicism_Mozart_moz330_1.mid,2,,,1,2,
Classicism_Classicism_Mozart_moz487_7.mid,6,1,2,,,
Classicism_Classicism_Mozart_mozartk1.mid,4,,4,1,2,
Classicism_Classicism_Mozart_Symphony35-41-011-k385_3.mid,12,6,2 10,,,
Classicism_Classicism_Mozart_Symphony35-41-011-k425_2.mid,12,6,10,,,
Classicism_Classicism_Mozart_Symphony35-41-3-msy3853.mid,10,6,2 10,,,
Medieval_ArsNova_Machau_machaut-b01.mid,4,2,3,,,
Renaissance_Renaissance-Late_Gabrieli_canzone.mid,10,2,5,,,
Renaissance_Renaissance-Late_Victoria_Ad_Caenam_Agni_Providi.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Ascendens_Christus_In_Altum-2-Gloria-t.mid,5,1 2 3,5,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2c.mid,8,1 5,4 8,,,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-2-Gloria-2t.mid,6,1,6,,,
Renaissance_Renaissance-Late_Victoria_Gaudeamus-4-Sanctus-t.mid,6,1,6,,,
Renaissance_Renaissance-Late_Victoria_Iste_Sanctus-s.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Letaniae_De_Beata_Virgine.mid,8,1 2 5 6,4 8,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Sexti_Toni-impares-1t.mid,5,3,5,,,
Renaissance_Renaissance-Late_Victoria_O_Quam_Gloriosum-2-Gloria-c.mid,4,2,4,,,
Renaissance_Renaissance-Late_Victoria_OD-10-Libera_Me-c.mid,6,1 2,6,,,
Renaissance_Renaissance-Late_Victoria_SV08-Beatus_Vir-2s.mid,4,1 2,4,,,
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis_More_Hispano-b.mid,6,1 2 ,5 6,,,
Renaissance_Renaissance-Late_Victoria_Vidi_Speciosam-a_8-1t.mid,8,3,8,,,
Renaissance_Renaissance-Middle_Certon_certon-je_ne_lose_dire.mid,7,1,4,,,
Romanticism_Post-romanticism_Saint_Saens_893aquar07.mid,21,2,,,,
Romanticism_Post-romanticism_Scriabin_etude_op42_no1.mid,2,,,1,2,
Romanticism_Romantic-Nationalism_Barbieri_Barbieri_barberillo.mid,31,1 2 3 22,26,,,
Romanticism_Romantic-Nationalism_Delius_legends.mid,19,13 14,17,2,3,
Romanticism_Romantic-Nationalism_Grieg_holberg_suite_op40_1mov_edvard_grieg.mid,6,1 2 3,6,,,
Romanticism_Romantic-Nationalism_Moszkowski_2370mmel.mid,3,1,,2,3,
Romanticism_Romanticism_Beethoven_8thSymph_8THSY1.mid,16,2,8,,,
