Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;
Baroque_Baroque-Late_Bach_01Wachet_auf_ruft_uns_die_Stimme.mid;2;;;1;2;;;;OK;
Baroque_Baroque-Late_Bach_106.mid;4;1;4;;;;Contrapunctus XI;Johann Sebastian Bach;OK;
Baroque_Baroque-Late_Bach_bjs0986b.mid;6;;;1;2;;Concerto No.15 in G; BWV 986;OK;
Baroque_Baroque-Late_Bach_BJS83105_R1.mid;6;;;3;4;;MD;MS;OK;
Baroque_Baroque-Late_Bach_bjsmag7.mid;22;17 18;20 21 22;;;;alto;fagotto;OK;
Baroque_Baroque-Late_Bach_BWV795.mid;2;1;;;;;Track 1;;xxxxx;
Baroque_Baroque-Late_Bach_INVENT_R1.mid;2;;;1;2;;;;OK;
Baroque_Baroque-Late_Bach_preludec.mid;2;;;1;2;;Treble Clef         ;Bass Clef           ;OK;
Baroque_Baroque-Late_Bach_Toccata_e_fuga.mid;5;;;1;2;;Right Hand;Left Hand;OK;
Baroque_Baroque-Late_Bach_wtc1082.mid;5;1;3;;;;Track 1;Track 3;OK;
Baroque_Baroque-Late_Bach_wtc2222.mid;6;1;4;;;;Track 1;Track 4;OK;
Baroque_Baroque-Late_Haendel_Mes32.mid;7;1 2;6;;;;;;OK;
Baroque_Baroque-Late_Marais_songen_m.mid;4;1;3 4;;;;Violon;Clavecin;OK;
Baroque_Baroque-Late_Pachelbel_2722canonind.mid;6;1 2 3;4 5;;;;Trumpet;String Ensemble 1;OK;
Baroque_Baroque-Late_Pachelbel_Pachelbel_Canon_piano_solo.mid;8;3 6 8;4 7;;;;CANOND.MID;CANOND.MID;OK;
Baroque_Baroque-Late_Vivaldi_gp_v07.mid;15;3 4;14 15;;;;The Four Seasons;;OK;
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_10_qui_sedes.mid;10;1 2;5 9;;;;Continuo-2;Continuo-4;OK;
Baroque_Baroque-Middle_Rosenmuller_0815studm_m.mid;6;1 2;5 6;;;;Cantus Primus;Bassus Continuus;OK;
Baroque_Baroque-Middle_Rosenmuller_47padal_m.mid;4;1;4;;;;Cantus I;Basso pro Organo;OK;
Classicism_Classicism_Haydn_2804hays94n2.mid;17;1 2 8;11 12;;;;Flauti;Contrabasso;OK;
Classicism_Classicism_Haydn_hay28_2.mid;5;1 2;5;;;;Violin I;Contrabass;OK;
Classicism_Classicism_Haydn_haydnob1.mid;6;1;6;;;;Oboe;Bass;OK;
Classicism_Classicism_Haydn_hydn07_3.mid;8;1 4;8;;;;Violino I;Basso continuo;OK;revisar pista violin
Classicism_Classicism_Mozart_arias-004-mozart_k.mid;4;2;3;;;;;;xxxxx;revisar
Classicism_Classicism_Mozart_MozartSym25GM.mid;13;1 4 5;8;;;;Oboi.;Basso.;OK;
Classicism_Classicism_Mozart_mozk211c.mid;16;1;;2;3;;Mozart - Violin;;OK;
Classicism_Classicism_Mozart_Symphony35-41-011-mok425m3.mid;15;5 10 11;14;;;;Oboe;Contrabass;OK;
Classicism_Classicism_Mozart_Symphony35-41-014-mo_sy404.mid;5;1;5;;;;No Name;No Name;OK;
Classicism_Pre-classicism_Scarlatti_scarlatti_gia_il_sole_dal_gange.mid;3;1;;2;3;;Canto;--;OK;
Medieval_ArsNova_Ciconia_ciconia-dolce.mid;3;;;2;3;;Dolce fortuna                       ;(Johannse Ciconia)                  ;OK;
Medieval_ArsNova_Machau_machaut-b11.mid;4;2;;;;;N'en fait n'en dit                  ;(Guillaume de Machaut)              ;OK;
Medieval_ArsNova_Machau_machaut-b24.mid;3;2;3;;;;Tres douce dame                     ;(Guillaume de Machaut)              ;OK;
Medieval_ArsNova_Machau_machaut-b35.mid;4;2;4;;;;Gais et jolis                       ;seq by n.nakamura;OK;
Renaissance_Renaissance-Early_Ockeghem_ockeghem-ma_bouche.mid;3;1;3;;;;Superius;Contratenor;OK;
Renaissance_Renaissance-Late_Byrd_1736no67woodssowild.mid;2;1;;;;;Instrument 1;;xxxxx;
Renaissance_Renaissance-Late_Byrd_FW091.mid;2;1;;;;;Track 1;;xxxxx;
Renaissance_Renaissance-Late_Lassus_wohl_kommt_der_mai.mid;10;2;5;;;;1;4;OK;
Renaissance_Renaissance-Late_Palestrina_palestrina_canticum_canticorum_02.mid;5;1;5;;;;S;Staff-1;OK;
Renaissance_Renaissance-Late_Victoria_Ascendens_Christus_In_Altum-6-Agnus_Dei-c.mid;6;3;6;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-4-Sanctus-b.mid;6;1 6;;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Ecce_Dominus_Veniet-s.mid;5;1;5;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Gaudeamus-6-Agnus_Dei-b.mid;7;1 2;7;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Hic_Vir_Despiciens_Mundum-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-3-Credo-1s.mid;12;1 2 5 9;4 8 12;;;;2t;2b;OK;
Renaissance_Renaissance-Late_Victoria_LJbis9-Incipit_Oratio_Jeremiae-1t.mid;8;1 2 5;7 8;;;;1b;2b;OK;
Renaissance_Renaissance-Late_Victoria_Magnificat_Tertii_Toni-pares-2c.mid;7;1 2 4;7;;;;1s;b;OK;
Renaissance_Renaissance-Late_Victoria_Nunc_Dimittis.mid;4;1;4;;;;t;b;OK;
Renaissance_Renaissance-Late_Victoria_O_Magnum_Mysterium-2-Gloria-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_O_Magnum_Mysterium-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-6-Agnus_Dei-1t.mid;9;1 2 6;5;;;;1b;1b;OK;
Renaissance_Renaissance-Late_Victoria_TR07-Tamquam_Ad_Latronem-s.mid;4;1;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Trahe_Me_Post_Te-3-Credo-1c.mid;6;3;6;;;;2s;b;OK;
Renaissance_Renaissance-Late_Victoria_Victoria_Apocrifo-Jesu_Dulcis_Memoria-t.mid;4;3;4;;;;s;b;OK;
Renaissance_Renaissance-Late_Victoria_Vidi_Speciosam-1-Kyrie-2t.mid;6;1 2 5;6;;;;1s;b;OK;
Romanticism_Post-romanticism_Busoni_piano_conc_mov4.mid;27;4;27;;;;C Clarinets;Basses;xxxxx;
Romanticism_Post-romanticism_Rachmaninoff_lieutenant_kije_no5.mid;22;1;13;;;;Piccolo;Tuba;xxxxx;
Romanticism_Post-romanticism_Saint_Saens_665gporgan.mid;21;2;12;;;;ORGAN SYMPHONY;sounds great;xxxxx;
Romanticism_Post-romanticism_Scriabin_fantasy_in_bmin_op28.mid;4;;;2;3;;www.brad-stark.com;Scriabin: Op. 28;OK;
Romanticism_Romantic-Nationalism_Breton_547tbeapolo.mid;19;1 2 3;14;;;;Oboes;Clarinete bajo en Si b;OK;
Romanticism_Romantic-Nationalism_Dvorak_684dvop221.mid;15;1 3;10;;;;Violini I-1;Contrabassi-1;OK;
Romanticism_Romantic-Nationalism_Rimsky_Korsakov_rimsky_korsakov_song_of_india.mid;8;;;4;5;;Piano Right Hand;Piano Left Hand;OK;
Romanticism_Romantic-Nationalism_Tchaikovsky_nutcrac1.mid;11;5 7 10 11;9;;;;B Bells             ;X Bass              ;OK;
