Nombre_fichero,N_Pistas,melody,bass,piano_rh,piano_lh,mixdown
Baroque_Baroque-Late_Bach_3part13.mid,5,3,5,,,
Baroque_Baroque-Late_Bach_3PART_05.mid,3,,,1 2,3,
Baroque_Baroque-Late_Bach_air_g.mid,16,1,5 6,,,
Baroque_Baroque-Late_Bach_bjs958.mid,8,3 4,6,,,
Baroque_Baroque-Late_Bach_BWV1030.mid,5,3,,4,5,
Baroque_Baroque-Late_Bach_BWV807B.mid,3,,,1,2,
Baroque_Baroque-Late_Bach_CONCER3.mid,10,1 4,9,,,
Baroque_Baroque-Late_Bach_fuguein_2.mid,7,1 2 3,5,,,
Baroque_Baroque-Late_Bach_jesjoy.mid,5,1,2,,,
Baroque_Baroque-Late_Bach_jsbart1.mid,6,3 4,5,,,
Baroque_Baroque-Late_Bach_PASCFUG.mid,5,1,4,,,
Baroque_Baroque-Late_Bach_WT1_X4B.mid,4,,,1 2,3 4,
Baroque_Baroque-Late_Bach_wtc1112.mid,5,1,3,,,
Baroque_Baroque-Late_Bach_wtc1172.mid,6,1,4,,,
Baroque_Baroque-Late_Bach_wtc1211.mid,5,,,1,2,
Baroque_Baroque-Late_Bach_WTCPRE18.mid,4,,,3,4,
Baroque_Baroque-Late_Corelli_Pastorale_Alexandre_Guilmant.mid,7,,,2 4 6,1 3 5,
Baroque_Baroque-Late_Haendel_C_maior_3_adagio.mid,3,1,,2,3,
Baroque_Baroque-Late_Haendel_Handel_WaterBouree.mid,14,1 2 3 4 10,14,,,
Baroque_Baroque-Late_Haendel_handms12.mid,9,1 4 5 6,9,,,
Baroque_Baroque-Late_Haendel_sheba.mid,11,1 8 9,7,,,
Baroque_Baroque-Late_Pachelbel_pachelbel-canon_piano.mid,4,1 3,4,,,
Baroque_Baroque-Late_Pachelbel_Pachelbel_Johann_Canon_Cello_Piano_Version.mid,2,1,1,,,
Baroque_Baroque-Late_Vivaldi_gp_v02.mid,10,3 4,2,,,
Baroque_Baroque-Late_Vivaldi_verano_vivaldi.mid,12,1 2 3,6,,,
Baroque_Baroque-Late_Vivaldi_ViolinConcertoViv.mid,7,2,,,,
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_07_domine_fili.mid,14,1 2 5 6 7,4 8 9 13,,,
Baroque_Baroque-Middle_Rosenmuller_02padal_m.mid,4,1 2,3 4,,,
Baroque_Baroque-Middle_Rosenmuller_13padal_m.mid,4,1 2,3 4,,,
Baroque_Baroque-Middle_Rosenmuller_19padal_m.mid,4,1 2,3 4,,,
Baroque_Baroque-Middle_Rosenmuller_45padal_m.mid,4,1 2,3 4,,,
Classicism_Classicism_Clementi_clementi-sonatina_no3parb.mid,2,,,1,2,
Classicism_Classicism_Haydn_haydn-6.mid,5,,,1,3,
Classicism_Classicism_Haydn_hydn65_4.mid,8,4 5,8,,,
Classicism_Classicism_Mozart_ANDCASAT.mid,3,,,1,2,
Classicism_Classicism_Mozart_arias-004-vamodi.mid,12,1,8 12,,,
Classicism_Classicism_Mozart_arias-4-508_2.mid,3,1,3,,,
Classicism_Classicism_Mozart_mozart11.mid,7,6,,,,
Classicism_Classicism_Mozart_mozart18.mid,7,6,1,,,
Classicism_Classicism_Mozart_mozart_kv346.mid,3,1 2,3,,,
Classicism_Classicism_Mozart_mozart_lieder_ridente_la_calma.mid,4,4,,2,3,
Classicism_Classicism_Mozart_mozart_requiem_12_agnus_dei.mid,7,1,4,5,6,
Classicism_Classicism_Mozart_mozhorn2.mid,7,2 3,7,,,
Classicism_Classicism_Mozart_mz_333_1.mid,7,,,1,2,
Classicism_Classicism_Mozart_mz_quarc.mid,4,1 2,4,,,
Classicism_Classicism_Mozart_WAMJOKE2.mid,7,4 5,7,,,
Classicism_Classicism_Selby_selby-voluntary_viii.mid,7,,,1,2,
Classicism_Pre-classicism_Soler_1476soler91c.mid,2,,,1,2,
Medieval_ArsAntiqua_Anonymous_laude-jocunda-smp.mid,5,2,4,,,
Medieval_ArsNova_Machau_machaut-b39.mid,4,2,4,,,
Medieval_ArsNova_Senleches_senle03.mid,4,2,4,,,
Renaissance_Renaissance-Early_Binchois_Binchois16.mid,3,1,2 3,,,
Renaissance_Renaissance-Early_Cornysh_blow_thy_horne_hunter.mid,9,2,4,,,
Renaissance_Renaissance-Early_Escobar_pasame_por_dios_varquero.mid,9,2,4,,,
Renaissance_Renaissance-Late_Dowland_dowland_if_my_complaints.mid,10,12 3 4,5,,,
Renaissance_Renaissance-Late_Morley_morley_lady_those_eyes.mid,9,2 3,4,,,
Renaissance_Renaissance-Late_Palestrina_palestrina_canticum_canticorum_03.mid,5,1 2 3,5,,,
Renaissance_Renaissance-Late_Palestrina_sacra_giovanni_pierluigi_da_palestrina_missa_ave_regina_coelorum_agnus_dei.mid,9,1 2,4,,,
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris-3-Credo-1c.mid,8,1 5,4 8,,,
Renaissance_Renaissance-Late_Victoria_Alma_Redemptoris_Mater.mid,8,1 2 5 6,8,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2b.mid,8,1 5,4 8,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maria-a_8-2s.mid,8,1 5,4 8,,,
Renaissance_Renaissance-Late_Victoria_Ave_Maris_Stella-2-Gloria-c.mid,4,1 2,4,,,
Renaissance_Renaissance-Late_Victoria_Benedictus_Dominus.mid,4,1 2,4,,,
Renaissance_Renaissance-Late_Victoria_De_Beata_Maria-6-Agnus_Dei.mid,7,1 2,7,,,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-2-Gloria-1t.mid,6,1 2 5,6,,,
Renaissance_Renaissance-Late_Victoria_Dum_Complerentur-5-Benedictus.mid,7,1 2,7,,,
Renaissance_Renaissance-Late_Victoria_Exultet_Coelum_Laudibus-t.mid,4,1 2 3,4,,,
Renaissance_Renaissance-Late_Victoria_Falsobordon-1-2t.mid,5,1 4,5,,,
Renaissance_Renaissance-Late_Victoria_Falsobordon-2-s.mid,5,1,5,,,
Renaissance_Renaissance-Late_Victoria_Falsobordon-5-1t.mid,5,1 3,5,,,
Renaissance_Renaissance-Late_Victoria_Gaudeamus-6-Agnus_Dei-2t.mid,7,1 2 6,7,,,
Renaissance_Renaissance-Late_Victoria_Hostis_Herodes_Impie.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Jesu_Nostra_Redemptio-s.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-4-Sanctus_y_Benedictus.mid,12,1 2 5 9,4 8 12,,,
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-5-Agnus_Dei-4s.mid,12,1 2 5 9,4 8 12,,,
Renaissance_Renaissance-Late_Victoria_Laetatus_Sum-5-Agnus_Dei.mid,12,1 2 5 9,4 8 12,,,
Renaissance_Renaissance-Late_Victoria_Magi_Viderunt_Stellam.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Primi_Toni-2c.mid,9,1 2 5 6,8,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Primi_Toni-impares-1t.mid,6,1 2 4,6,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Quarti_Toni-impares-1c.mid,5,1 2,5,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Septimi_Toni-impares.mid,5,1,5,,,
Renaissance_Renaissance-Late_Victoria_Magnificat_Tertii_Toni-impares-1t.mid,5,1 3,5,,,
Renaissance_Renaissance-Late_Victoria_Nigra_Sum_Sed_Formosa-2t.mid,6,1 2 5,6,,,
Renaissance_Renaissance-Late_Victoria_O_Sacrum_Convivium_a_6-1c.mid,6,1 2,6,,,
Renaissance_Renaissance-Late_Victoria_Pro_Victoria-1-Kyrie-2b.mid,9,1 2 6,5 9,,,
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-3-Credo-b.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Quam_Pulchri_Sunt-6-Agnus_Dei-1b.mid,7,1 2 3,6 7,,,
Renaissance_Renaissance-Late_Victoria_Requiem_a_4_voces-06-Agnus_Dei-s.mid,8,1,4,,,
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-1-Kyrie.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_Simile_Est_Regnum_Coelorum-4-Sanctus-s.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_SV03-Beatus_Vir-s.mid,4,1,4,,,
Renaissance_Renaissance-Late_Victoria_TR14-O_Vos_Omnes-t.mid,4,1 2,4,,,
Renaissance_Renaissance-Late_Victoria_Trahe_Me_Post_Te-6-Agnus_Dei-2t.mid,6,1 5,6,,,
Renaissance_Renaissance-Late_Victoria_Vexilla_Regis_More_Hispano-t.mid,6,1 2 3 4,6,,,
Renaissance_Renaissance-Late_Victoria_Victoria_Apocrifo-Ave_Maria.mid,4,1 2,4,,,
Renaissance_Renaissance-Middle_Anonymous_christmas_coventry-Midd.mid,10,2,,,,
Renaissance_Renaissance-Middle_Gervaise_bransle_gay_V.mid,10,2,5,,,
Renaissance_Renaissance-Middle_Janequin_La_Guerre_Clement_Janequin.mid,4,1,4,,,
Renaissance_Renaissance-Middle_Senfl_wohl_kumbt_der_mai_i.mid,10,2,5,,,
Romanticism_Post-romanticism_Rachmaninoff_RACH1_1.mid,10,,,,,
Romanticism_Post-romanticism_Rachmaninoff_symph_no5_op100_mov3.mid,24,5,21,,,
Romanticism_Post-romanticism_Saint_Saens_AveVerumSaintSaens.mid,4,1,4,,,
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_carnaval03.mid,21,7,10,,,
Romanticism_Post-romanticism_Saint_Saens_Saint-Saens_carnaval12.mid,21,4 6,16,,,
Romanticism_Post-romanticism_Scriabin_etude_op56_no4.mid,6,,,1,3,
Romanticism_Post-romanticism_Scriabin_etude_op8_no6.mid,5,,,1,2 3,
Romanticism_Romantic-Nationalism_Arensky_14arenskiy.mid,10,,,1,2,
Romanticism_Romantic-Nationalism_German_824princereg.mid,5,,,1,2,
Romanticism_Romantic-Nationalism_Smetana_smetmol.mid,25,1 3 12,16,,,
Romanticism_Romantic-Nationalism_Sousa_washpost.mid,21,1 11 12,8 16,,,
Romanticism_Romanticism_Beethoven_B7-4-MAA.mid,18,1 9,13,,,
Romanticism_Romanticism_Beethoven_Sonate12_Opus26.mid,5,1,5,,,
