Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;
Baroque_Baroque-Early_Marini_op22_2ballet_m.mid;4;1 2;4;;;;Violino Primo;Basso Continuo;OK
Baroque_Baroque-Early_Marini_op22_svlnsol_m.mid;3;1;3;;;;Violino;Basso Continuo;OK
Baroque_Baroque-Late_Bach_127.mid;2;;;1;2;;treble clef;bass clef;OK
Baroque_Baroque-Late_Bach_1699tpinven8.mid;3;1;3;;;;OBOE;BASSOON;OK
Baroque_Baroque-Late_Bach_BACH1P21.mid;5;1;;;;;Piano;;xxxxx
Baroque_Baroque-Late_Bach_bachto_v2.mid;4;2;3;;;;Great;Pedal;xxxxx
Baroque_Baroque-Late_Bach_BWV810G.mid;3;;;1;2;;English Suite 5; 7. Gigue;OK
Baroque_Baroque-Late_Bach_f19amaj.mid;4;1 2;3;;;;voice 2;voice 3;OK
Baroque_Baroque-Late_Bach_jsbwv541.mid;3;1;3;;;;Prelude and Fugue BWV541;Sequenced: Dean Lampe 1/96;OK
Baroque_Baroque-Late_Bach_p02cmin.mid;3;;;1;2;;Track-1;Track-2;OK
Baroque_Baroque-Late_Bach_TOCC_915.mid;2;1;;;;;Bach J.S.;;xxxxx
Baroque_Baroque-Late_Bach_wtc1092.mid;5;1 2;3;;;;Track 1;Track 3;OK
Baroque_Baroque-Late_Bach_wtc1131.mid;4;; ;1;2;;Track 1;Track 2;OK
Baroque_Baroque-Late_Bach_wtc1242.mid;6;1 2;4;;;;Track 1;Track 4;OK
Baroque_Baroque-Late_Haendel_1644gdance6.mid;10;;;1;2;;German Dance 6;Arr. By Rob Dwyer;OK
Baroque_Baroque-Late_Haendel_Mes06.mid;7;1;6;;;;;;OK
Baroque_Baroque-Late_Pachelbel_Canon_R1.mid;10;1 2;4 5;;;;Track-1;DB;OK
Baroque_Baroque-Middle_Becker_4245ersts_m.mid;3;1;3;;;;Violino;Basso Continuo;OK
Classicism_Classicism_Haydn_hydn06_1.mid;9;1 2 5 6;9;;;;Flauto;Basso;OK
Classicism_Classicism_Mozart_arias-4-508_1.mid;3;1;3;;;;;;OK
Classicism_Classicism_Mozart_arias-kv472.mid;4;1;;2;4;;Vocals;Pianoforte;OK
Classicism_Classicism_Mozart_mozart_chanson_a_boire.mid;4;1;;;;;1;2;OK
Classicism_Classicism_Mozart_mozk211b.mid;16;1;;2;3;;Mozart - Violin;;OK
Classicism_Classicism_Mozart_mz_493_1.mid;10;1;7;5;6;;WinJammer Demo;WinJammer Demo;OK
Classicism_Classicism_Mozart_Symphony35-41-011-mok425m2.mid;15;10;14;;;;Oboe;Contrabass;OK
Classicism_Classicism_Mozart_Symphony35-41-012-mok543m3.mid;16;5;15;;;;Flute;Contrabass;OK
Classicism_Pre-classicism_Boyce_1116boycev.mid;4;1;3;;;;Staff 1;;OK
Classicism_Pre-classicism_Scarlatti_K096L465.mid;7;1;;;;;Piano;;xxxxx
Classicism_Pre-classicism_Scarlatti_scad_160.mid;2;1;;;;;;;xxxxx
Medieval_ArsNova_Machau_machaut-b16.mid;3;2;3;;;;Dame; comment qu'amez               ;OK
Medieval_ArsNova_Senleches_senle05.mid;4;2;4;;;;[A-01] Tel me voit;[A-03] seq by n.nakamura;OK
Renaissance_Renaissance-Early_Anonymous_sifortune.mid;9;2;4;;;;alto;bass;OK
Renaissance_Renaissance-Late_Byrd_FW058.mid;2;1;;;;;Track 1;;xxxxx
Renaissance_Renaissance-Late_Byrd_FW162.mid;2;1;;;;;Track 1;;xxxxx
Renaissance_Renaissance-Late_Byrd_FW252.mid;2;1;;;;;Track 1;;xxxxx
Renaissance_Renaissance-Late_Dowland_dowland-pavane.mid;2;1;;;;;John ;;xxxxx
