Nombre_fichero;N_Pistas;melody;bass;piano_rh;piano_lh;mixdown;;;;
Baroque_Baroque-Late_Bach_3part13.mid;5;3;5;;;;Treble Voice;Bass Voice;OK;
Baroque_Baroque-Late_Bach_3PART_05.mid;3;;;1 2;3;;RH;LH;OK;
Baroque_Baroque-Late_Bach_air_g.mid;16;1;5 6;;;;Air on a G string;gpollen@polleng.freeserve.co.uk;OK;
Baroque_Baroque-Late_Bach_azbwv902.mid;7;1;;;;;Piano;;xxxxx;
Baroque_Baroque-Late_Bach_BACH02.MID_dist2.mid;7;6;;;;;;;xxxxx;
Baroque_Baroque-Late_Bach_BACH16.MID_dist1.mid;7;6;;;;;;;xxxxx;
Baroque_Baroque-Late_Bach_BACH1P24.mid;5;1;;;;;Piano;;xxxxx;
Baroque_Baroque-Late_Bach_BACH2PR7.mid;6;1;;;;;Piano;;xxxxx;
Baroque_Baroque-Late_Bach_BACHENG1.mid;2;1;;;;;Track 1;;xxxxx;
Baroque_Baroque-Late_Bach_BACPART4.mid;2;1;;;;;Ger.8l;;xxxxx;
Baroque_Baroque-Late_Bach_bjs958.mid;8;3 4;6;;;;V1;V4;OK;
Baroque_Baroque-Late_Bach_bjspreii.mid;4;1;;;;;piano;;xxxxx;
Baroque_Baroque-Late_Bach_BWV1030.mid;5;3;;4;5;;Flute;Harpsichord LH;OK;
Baroque_Baroque-Late_Bach_BWV807B.mid;3;;;1;2;;English Suite 2; 2. Allemande;OK;
Baroque_Baroque-Late_Bach_BWV833.mid;2;1;;;;;Track 1;;xxxxx;
Baroque_Baroque-Late_Bach_CONCER3.mid;10;1 4;9;;;;;;OK;
Baroque_Baroque-Late_Bach_fuguein_2.mid;7;1 2 3;5;;;;Midi C2; T1         ;OK;
Baroque_Baroque-Late_Bach_jesjoy.mid;5;1;2;;;;;;OK;
Baroque_Baroque-Late_Bach_jsbart1.mid;6;3 4;5;;;;;;OK;
Baroque_Baroque-Late_Bach_PASCFUG.mid;5;1;4;;;;;;OK;
Baroque_Baroque-Late_Bach_WT1_X4B.mid;4;;;1 2;3 4;;LH H;LH L;OK;
Baroque_Baroque-Late_Bach_wtc1112.mid;5;1;3;;;;Track 1;Track 3;OK;
Baroque_Baroque-Late_Bach_wtc1172.mid;6;1;4;;;;Track 1;Track 4;OK;
Baroque_Baroque-Late_Bach_wtc1211.mid;5;;;1;2;;Track 1;Track 2;OK;
Baroque_Baroque-Late_Bach_WTCPRE18.mid;4;;;3;4;;;;OK;
Baroque_Baroque-Late_Corelli_Pastorale_Alexandre_Guilmant.mid;7;;;2 4 6;1 3 5;;Organ 2 Left;Organ 1 Left;OK;
Baroque_Baroque-Late_Haendel_C_maior_3_adagio.mid;3;1;;2;3;;Cembalo RH;Cembalo LH;OK;
Baroque_Baroque-Late_Haendel_Handel_WaterBouree.mid;14;1 2 3 4 10;14;;;;;;OK;
Baroque_Baroque-Late_Haendel_handms12.mid;9;1 4 5 6;9;;;;;;OK;
Baroque_Baroque-Late_Haendel_sheba.mid;11;1 8 9;7;;;;FLUTE1              ;BASSTRLG            ;OK;
Baroque_Baroque-Late_Pachelbel_pachelbel-canon_piano.mid;4;1 3;4;;;;http://www.sba.oakland.edu/labstaff/jesse/ (right);left;OK;
Baroque_Baroque-Late_Pachelbel_Pachelbel_Johann_Canon_Cello_Piano_Version.mid;2;1;1;;;;Violoncello;Violoncello;OK;
Baroque_Baroque-Late_Pachelbel_pachelbel_magnificat_part_I_08.mid;16;1;;;;;J. Pachelbel;;xxxxx;
Baroque_Baroque-Late_Pachelbel_pachelbel_magnificat_part_II_04.mid;24;1;;;;;[...];;xxxxx;
Baroque_Baroque-Late_Vivaldi_gp_v02.mid;10;3 4;2;;;;by Vivaldi;SPRING;OK;
Baroque_Baroque-Late_Vivaldi_verano_vivaldi.mid;12;1 2 3;6;;;;Violino;Contrabbassi;OK;
Baroque_Baroque-Late_Vivaldi_ViolinConcertoViv.mid;7;2;;;;;;;OK;
Baroque_Baroque-Late_Vivaldi_vivaldi_gloria_07_domine_fili.mid;14;1 2 5 6 7;4 8 9 13;;;;Oboe;Violini II;OK;
Baroque_Baroque-Middle_Rosenmuller_02padal_m.mid;4;1 2;3 4;;;;Cantus I;Bassus;OK;
Baroque_Baroque-Middle_Rosenmuller_13padal_m.mid;4;1 2;3 4;;;;Cantus I;Bassus;OK;
Baroque_Baroque-Middle_Rosenmuller_19padal_m.mid;4;1 2;3 4;;;;Cantus I;Bassus;OK;
